X,Y,OBJECTID,METERTYPE,METERID,ROUTEID,SIDE,MEAS,LON,LAT,DDOTLON,DDOTLAT,DDOTMDSPX,DDOTMDSPY,STREET,BLOCK,METERMODEL,METERSTATUS,METERSTATE,METERSPACES,ISADA,PMZONE,TRANSMISSIONDATE,ERRORCODES
-77.022188571,38.9225656216,2012295,Single,12122401,11040042,East,699.77478027,-77.02218628,38.92255783,,,-77.02228546,38.9225502,GEORGIA AVE NW,2400,IPS Cash and Card,Active,Installed,1,N,22673,202002123354,
-77.032350926600003,38.903690495699998,2012296,Single,21111406,11053492,South,1720.05029297,-77.03234863,38.90368271,,,-77.03234863,38.90373611,L ST NW,1400,IPS Cash and Card,Active,Installed,1,N,22882,202002123354,
-77.032183079199996,38.903694310399999,2012297,Single,21111404,11053492,South,1705.46032715,-77.03218079,38.90368652,,,-77.03218079,38.90373611,L ST NW,1400,IPS Cash and Card,Active,Installed,1,N,22882,202002123354,
-77.026071932500003,38.901123204500003,2012298,Single,20100806,11001002,West,1002.95599365,-77.02606964,38.90111542,,,-77.02599335,38.90111542,10TH ST NW,800,IPS Cash and Card,Active,Installed,1,N,21979,202002123354,
-77.032022862800005,38.903694310500001,2012299,Single,21111402,11053492,South,1691.56323242,-77.03202057,38.90368652,,,-77.03202057,38.90373611,L ST NW,1400,IPS Cash and Card,Active,Installed,1,N,22882,202002123354,
-77.022264865099999,38.921905678599998,2012300,Single,12122408,11040042,West,627.72296143,-77.02226257,38.92189789,,,-77.02219391,38.92190552,GEORGIA AVE NW,2400,IPS Cash and Card,Active,Installed,1,N,23716,202002123354,
-77.022219088599996,38.922805947699999,2012301,Single,12122409,11040042,East,726.58599854,-77.0222168,38.92279816,,,-77.02232361,38.92279053,GEORGIA AVE NW,2400,IPS Cash and Card,Active,Installed,1,N,22673,202002123354,
-77.049662028599997,38.899536289099998,2012302,Single,21082214,11042442,South,3762.1730957,-77.04965973,38.8995285,,,-77.04965973,38.89957809,H ST NW,2200,IPS Cash and Card,Active,Removed,1,N,2136,202002123354,NoPolicy_
-76.996683494799996,38.885067140899999,2012303,Multi,62500696,13069812,Northeast,657.58312988,-76.99668121,38.88505936,,,-76.99677277,38.88491821,PENNSYLVANIA AVE SE,600,Stelio,Active,Installed,9,N,21235,202002123354,
-77.049799357300003,38.899536288599997,2012304,Single,21082216,11042442,South,3774.27734375,-77.04979706,38.8995285,,,-77.04979706,38.89957428,H ST NW,2200,IPS Cash and Card,Active,Removed,1,N,2136,202002123354,NoPolicy_
-77.049532327799994,38.8995362884,2012305,Single,21082210,11042442,South,3750.95605469,-77.04953003,38.8995285,,,-77.04953003,38.89957809,H ST NW,2200,IPS Cash and Card,Active,Removed,1,N,2136,202002123354,NoPolicy_
-77.016748809199996,38.8997079512,2012306,Multi,61080492,11042442,South,759.05010986,-77.01674652,38.89970016,,,-77.01674652,38.89979172,H ST NW,400,Strada,Active,Installed,7,N,22766,202002123354,
-77.049662028599997,38.899536289099998,2012307,Single,21082212,11042442,South,3762.1730957,-77.04965973,38.8995285,,,-77.04965973,38.89957809,H ST NW,2200,IPS Cash and Card,Active,Installed,1,N,2136,202002123354,
-77.016687774499999,38.893676914300002,2012308,Single,61030355,11019822,North,405.42449951,-77.01668549,38.89366913,,,-77.01668549,38.89358902,C ST NW,300,Duncan Single-Space,Active,Removed,1,N,22392,202002123354,NoPolicy_
-77.016428375499999,38.899879613300001,2012309,Multi,61080493,11042442,North,731.20465088,-77.01642609,38.89987183,,,-77.01642609,38.89979172,H ST NW,400,Strada,Active,Installed,8,N,22769,202002123354,
-77.049799357300003,38.899536288599997,2012310,Single,21082218,11042442,South,3774.27734375,-77.04979706,38.8995285,,,-77.04979706,38.89957428,H ST NW,2200,IPS Cash and Card,Active,Removed,1,N,2136,202002123354,NoPolicy_
-76.997263328800003,38.885311282,2012311,Multi,62500694,13069812,Northeast,600.90100098,-76.99726105,38.8853035,,,-76.99736023,38.88515091,PENNSYLVANIA AVE SE,600,Stelio,Active,Installed,3,N,21235,202002123354,
-77.0332130476,38.898254550700003,2012312,Single,21071424,11038612,South,1839.18347168,-77.03321075,38.89824677,,,-77.03321075,38.89831924,G ST NW,1400,IPS Cash and Card,Active,Installed,1,N,22658,202002123354,
-77.008066554500004,38.876495514299997,2012313,Single,61510006,13057852,North,89.77062988,-77.00806427,38.87648773,,,-77.00806427,38.87646866,M ST SE,0,IPS Cash and Card,Active,Installed,1,N,21100,202002123354,
-77.072641773800001,38.932697457800003,2012314,Single,32643206,11094052,West,3555.45019531,-77.07263947,38.93268967,,,-77.0725174,38.93267822,WISCONSIN AVE NW,3200,IPS Cash and Card,Inactive,Installed,1,N,21839,202002123354,
